"PITS Configuration","PITS Configuration"
"Thank you for contacting us with your request. We'll respond to you very soon.","Thank you for contacting us with your request. We'll respond to you very soon."
"Something went wrong while processing your request. Please try again later.","Something went wrong while processing your request. Please try again later."
"Please enter your name.","Please enter your name."
"Please enter your email address.","Please enter your email address."
"Please enter the description.","Please enter the description."
"Product sku is missing.","Product sku is missing."
"Contact For Price","Contact For Price"
"Enable/Disable Contact For Price Module.","Enable/Disable Contact For Price Module."
"Show Contact Button","Show Contact Button"
"Display 'Request for price' button in front-end which will enable customers to contact admin for price.<br>If set as 'No' Contact For Price, Product Price and  Add To Cart button will not be displayed.","Display 'Request for price' button in front-end which will enable customers to contact admin for price.<br>If set as 'No' Contact For Price, Product Price and  Add To Cart button will not be displayed."
"Enable Call For Price","Enable Call For Price"
"If enabled will display 'Call for price' button instead of 'Request for price'.<br>Customer will be able to contact the shop by using the configured telephone number.","If enabled will display 'Call for price' button instead of 'Request for price'.<br>Customer will be able to contact the shop by using the configured telephone number."
"Telephone Number","Telephone Number"
"Call For Price telephone number.","Call For Price telephone number."
"Call for price","Call for price"
"Custom Button Label","Custom Button Label"
"Customize Contact For Price button label.","Customize Contact For Price button label."
"Contact Email Address","Contact Email Address"
"Customer request for price will be sent to this address.","Customer request for price will be sent to this address."
"Request For Price","Request For Price"
"Hide Product Price","Hide Product Price"
"Name","Name"
"Email","Email"
"SKU","SKU"
"Telephone","Telephone"
"Description","Description"
"Submit","Submit"
"Request For Price Submission","Request For Price Submission"
"You cannot add product %1 in comparison list.","You cannot add product %1 in comparison list."
"You can't add product to cart right now. ","You can't add product to cart right now. "
"Because one of the products have enabled hide price feature.","Because one of the products have enabled hide price feature."